project_id,name,status,category,latitude,longitude,geocode_query,source,notes,coord_method,geocode_detail
P01,New Blue Improvements to the A Line,Operational,rail,33.76804,-118.19296,"Downtown Long Beach Station, Long Beach, CA",Metro Board 2023-0756 Attachment A (Mar 2024); Wikipedia Twenty-eight by '28,Representative point: Downtown Long Beach A Line,seed_curated,coordinates supplied in seed CSV
P02,Silver Line J Line Improvement Program,Operational,bus_brt,34.07674,-118.03565,"El Monte Station, El Monte, CA",Metro Board 2023-0756 Attachment A,Representative: El Monte Transit Center (J Line),seed_curated,coordinates supplied in seed CSV
P03,Crenshaw LAX Line K Line,Operational,rail,33.96794,-118.35069,"Downtown Inglewood Station, Inglewood, CA",Metro Board 2023-0756 Attachment A,Representative: Downtown Inglewood K Line,seed_curated,coordinates supplied in seed CSV
P04,Regional Connector,Operational,rail,34.05208,-118.24653,"Historic Broadway Station, Los Angeles, CA",Metro Board 2023-0756 Attachment A,Downtown connector node,seed_curated,coordinates supplied in seed CSV
P05,Eastside Access Improvements,Operational,access,34.0336,-118.1551,"Maravilla Station, East Los Angeles, CA",Metro Board 2023-0756 Attachment A,Eastside E Line access cluster (Maravilla approx),seed_curated,coordinates supplied in seed CSV
P06,Airport Metro Connector Station,Operational,rail,33.95,-118.387,"LAX Metro Transit Center, Los Angeles, CA",Metro Board 2023-0756 Attachment A,LAX/Metro Transit Center approx,seed_curated,coordinates supplied in seed CSV
P07,J Line Electrification,Operational,bus_brt,33.869,-118.287,"Harbor Gateway Transit Center, Los Angeles, CA",Metro Board 2023-0756 Attachment A,Harbor Gateway Transit Center approx,seed_curated,coordinates supplied in seed CSV
P08,Rail to Rail Segment A,Operational,active_transport,33.9889,-118.28,"Slauson and South Broadway, Los Angeles, CA",Metro Board 2023-0756 Attachment A,Corridor mid-point proxy,seed_curated,coordinates supplied in seed CSV
P09,North San Fernando Valley BRT,Under construction,bus_brt,34.168,-118.377,"North Hollywood Station, Los Angeles, CA",Metro Board 2023-0756 Attachment A,NSFV BRT corridor anchor,seed_curated,coordinates supplied in seed CSV
P10,Purple D Line Extension Section 1,Operational,rail,34.062,-118.309,"Wilshire and Vermont, Los Angeles, CA",Metro Board 2023-0756 Attachment A,Section 1 corridor,seed_curated,coordinates supplied in seed CSV
P11,Gold A Line Foothill Extension to Pomona,Operational,rail,34.07,-117.752,"Pomona, CA",Metro Board 2023-0756 Attachment A,Foothill extension Pomona area,seed_curated,coordinates supplied in seed CSV
P12,Purple D Line Extension Section 2,Under construction,rail,34.059,-118.417,"Century City, Los Angeles, CA",Metro Board 2023-0756 Attachment A,Section 2 toward Century City,seed_curated,coordinates supplied in seed CSV
P13,Rosecrans Marquardt Grade Separation,Operational,highway_grade,33.9016,-118.052,"Rosecrans Avenue and Marquardt Avenue, Santa Fe Springs, CA",Metro Board 2023-0756 Attachment A,Grade separation location,seed_curated,coordinates supplied in seed CSV
P14,New Bus Corridors Broadway Florence La Brea Sunset,Planned,bus_brt,34.04,-118.255,"Broadway and Olympic Boulevard, Los Angeles, CA",Metro Board 2023-0756 Attachment A,Multi-corridor program — Broadway proxy,seed_curated,coordinates supplied in seed CSV
P15,I-5 North Capacity Enhancements,Under construction,highway,34.412,-118.507,"Interstate 5 and State Route 14, Santa Clarita, CA",Metro Board 2023-0756 Attachment A,I-5/SR-14 area,seed_curated,coordinates supplied in seed CSV
P16,Key DTLA Stations Union and 7th Metro Center,Planned,rail,34.0561,-118.2342,"Union Station, Los Angeles, CA",Metro Board 2023-0756 Attachment A,Union Station representative,seed_curated,coordinates supplied in seed CSV
P17,North Hollywood to Pasadena BRT,Under construction,bus_brt,34.168,-118.377,"North Hollywood Station, Los Angeles, CA",Metro Board 2023-0756 Attachment A,NoHo–Pasadena BRT anchor,seed_curated,coordinates supplied in seed CSV
P18,LA River Bike Path Mobility Hub SFV,Planned,active_transport,34.1733,-118.48686,"Sepulveda Basin, Los Angeles, CA",Metro Board 2023-0756 Attachment A,SFV river path proxy,seed_curated,coordinates supplied in seed CSV
P19,G Line Travel Time and Safety Improvements,Under construction,bus_brt,34.188,-118.5,"Balboa and Victory Boulevard, Los Angeles, CA",Metro Board 2023-0756 Attachment A,G Line mid-corridor,seed_curated,coordinates supplied in seed CSV
P20,Purple D Line Extension Section 3,Under construction,rail,34.063,-118.447,"Westwood UCLA, Los Angeles, CA",Metro Board 2023-0756 Attachment A,Section 3 / UCLA station area,seed_curated,coordinates supplied in seed CSV
P21,Mobility Hubs in San Fernando Valley,Planned,mobility_hub,34.25,-118.6,"Chatsworth Station, Los Angeles, CA",Metro Board 2023-0756 Attachment A,Chatsworth hub representative,seed_curated,coordinates supplied in seed CSV
P22,Gateway Cities MCP Projects,Planned,mobility_hub,33.771,-118.19,"Willow Station, Long Beach, CA",Metro Board 2023-0756 Attachment A,Willow mobility hub proxy,seed_curated,coordinates supplied in seed CSV
P23,LRT Speed and Reliability Improvements,Planned,rail,34.033,-118.266,"Washington Boulevard and Flower Street, Los Angeles, CA",Metro Board 2023-0756 Attachment A,Washington/Flower junction proxy,seed_curated,coordinates supplied in seed CSV
P24,Bus Only Lanes Olympic and Venice,Planned,bus_brt,34.052,-118.291,"Olympic Boulevard and Vermont Avenue, Los Angeles, CA",Metro Board 2023-0756 Attachment A,Olympic Blvd corridor proxy,seed_curated,coordinates supplied in seed CSV
P25,I-105 ExpressLanes Segment 1,Under construction,highway,33.93,-118.1,"Interstate 105 and Interstate 605, Norwalk, CA",Metro Board 2023-0756 Attachment A,I-105 corridor proxy,seed_curated,coordinates supplied in seed CSV
P26,SR 57 SR 60 Interchange Improvements,Under construction,highway,34.0,-117.85,"State Route 57 and State Route 60, Diamond Bar, CA",Metro Board 2023-0756 Attachment A,Interchange location,seed_curated,coordinates supplied in seed CSV
P27,Vermont Transit Corridor BRT,Planned,bus_brt,34.062,-118.2916,"Vermont Avenue and Wilshire Boulevard, Los Angeles, CA",Metro Board 2023-0756 Attachment A,Vermont corridor mid-point,seed_curated,coordinates supplied in seed CSV
P28,I-405 Integrated Corridor Management,Planned,highway,33.96,-118.37,"Interstate 405 and Manchester Avenue, Inglewood, CA",Metro Board 2023-0756 Attachment A,I-405 segment proxy,seed_curated,coordinates supplied in seed CSV
