project_id,name,status,category,latitude,longitude,geocode_query,source,notes
P01,New Blue Improvements to the A Line,Operational,rail,33.76804,-118.19296,"Downtown Long Beach Station, Long Beach, CA",Metro Board 2023-0756 Attachment A (Mar 2024); Wikipedia Twenty-eight by '28,Representative point: Downtown Long Beach A Line
P02,Silver Line J Line Improvement Program,Operational,bus_brt,34.07674,-118.03565,"El Monte Station, El Monte, CA",Metro Board 2023-0756 Attachment A,Representative: El Monte Transit Center (J Line)
P03,Crenshaw LAX Line K Line,Operational,rail,33.96794,-118.35069,"Downtown Inglewood Station, Inglewood, CA",Metro Board 2023-0756 Attachment A,Representative: Downtown Inglewood K Line
P04,Regional Connector,Operational,rail,34.05208,-118.24653,"Historic Broadway Station, Los Angeles, CA",Metro Board 2023-0756 Attachment A,Downtown connector node
P05,Eastside Access Improvements,Operational,access,34.03360,-118.15510,"Maravilla Station, East Los Angeles, CA",Metro Board 2023-0756 Attachment A,Eastside E Line access cluster (Maravilla approx)
P06,Airport Metro Connector Station,Operational,rail,33.95000,-118.38700,"LAX Metro Transit Center, Los Angeles, CA",Metro Board 2023-0756 Attachment A,LAX/Metro Transit Center approx
P07,J Line Electrification,Operational,bus_brt,33.86900,-118.28700,"Harbor Gateway Transit Center, Los Angeles, CA",Metro Board 2023-0756 Attachment A,Harbor Gateway Transit Center approx
P08,Rail to Rail Segment A,Operational,active_transport,33.98890,-118.28000,"Slauson and South Broadway, Los Angeles, CA",Metro Board 2023-0756 Attachment A,Corridor mid-point proxy
P09,North San Fernando Valley BRT,Under construction,bus_brt,34.16800,-118.37700,"North Hollywood Station, Los Angeles, CA",Metro Board 2023-0756 Attachment A,NSFV BRT corridor anchor
P10,Purple D Line Extension Section 1,Operational,rail,34.06200,-118.30900,"Wilshire and Vermont, Los Angeles, CA",Metro Board 2023-0756 Attachment A,Section 1 corridor
P11,Gold A Line Foothill Extension to Pomona,Operational,rail,34.07000,-117.75200,"Pomona, CA",Metro Board 2023-0756 Attachment A,Foothill extension Pomona area
P12,Purple D Line Extension Section 2,Under construction,rail,34.05900,-118.41700,"Century City, Los Angeles, CA",Metro Board 2023-0756 Attachment A,Section 2 toward Century City
P13,Rosecrans Marquardt Grade Separation,Operational,highway_grade,33.90160,-118.05200,"Rosecrans Avenue and Marquardt Avenue, Santa Fe Springs, CA",Metro Board 2023-0756 Attachment A,Grade separation location
P14,New Bus Corridors Broadway Florence La Brea Sunset,Planned,bus_brt,34.04000,-118.25500,"Broadway and Olympic Boulevard, Los Angeles, CA",Metro Board 2023-0756 Attachment A,Multi-corridor program — Broadway proxy
P15,I-5 North Capacity Enhancements,Under construction,highway,34.41200,-118.50700,"Interstate 5 and State Route 14, Santa Clarita, CA",Metro Board 2023-0756 Attachment A,I-5/SR-14 area
P16,Key DTLA Stations Union and 7th Metro Center,Planned,rail,34.05610,-118.23420,"Union Station, Los Angeles, CA",Metro Board 2023-0756 Attachment A,Union Station representative
P17,North Hollywood to Pasadena BRT,Under construction,bus_brt,34.16800,-118.37700,"North Hollywood Station, Los Angeles, CA",Metro Board 2023-0756 Attachment A,NoHo–Pasadena BRT anchor
P18,LA River Bike Path Mobility Hub SFV,Planned,active_transport,34.17330,-118.48686,"Sepulveda Basin, Los Angeles, CA",Metro Board 2023-0756 Attachment A,SFV river path proxy
P19,G Line Travel Time and Safety Improvements,Under construction,bus_brt,34.18800,-118.50000,"Balboa and Victory Boulevard, Los Angeles, CA",Metro Board 2023-0756 Attachment A,G Line mid-corridor
P20,Purple D Line Extension Section 3,Under construction,rail,34.06300,-118.44700,"Westwood UCLA, Los Angeles, CA",Metro Board 2023-0756 Attachment A,Section 3 / UCLA station area
P21,Mobility Hubs in San Fernando Valley,Planned,mobility_hub,34.25000,-118.60000,"Chatsworth Station, Los Angeles, CA",Metro Board 2023-0756 Attachment A,Chatsworth hub representative
P22,Gateway Cities MCP Projects,Planned,mobility_hub,33.77100,-118.19000,"Willow Station, Long Beach, CA",Metro Board 2023-0756 Attachment A,Willow mobility hub proxy
P23,LRT Speed and Reliability Improvements,Planned,rail,34.03300,-118.26600,"Washington Boulevard and Flower Street, Los Angeles, CA",Metro Board 2023-0756 Attachment A,Washington/Flower junction proxy
P24,Bus Only Lanes Olympic and Venice,Planned,bus_brt,34.05200,-118.29100,"Olympic Boulevard and Vermont Avenue, Los Angeles, CA",Metro Board 2023-0756 Attachment A,Olympic Blvd corridor proxy
P25,I-105 ExpressLanes Segment 1,Under construction,highway,33.93000,-118.10000,"Interstate 105 and Interstate 605, Norwalk, CA",Metro Board 2023-0756 Attachment A,I-105 corridor proxy
P26,SR 57 SR 60 Interchange Improvements,Under construction,highway,34.00000,-117.85000,"State Route 57 and State Route 60, Diamond Bar, CA",Metro Board 2023-0756 Attachment A,Interchange location
P27,Vermont Transit Corridor BRT,Planned,bus_brt,34.06200,-118.29160,"Vermont Avenue and Wilshire Boulevard, Los Angeles, CA",Metro Board 2023-0756 Attachment A,Vermont corridor mid-point
P28,I-405 Integrated Corridor Management,Planned,highway,33.96000,-118.37000,"Interstate 405 and Manchester Avenue, Inglewood, CA",Metro Board 2023-0756 Attachment A,I-405 segment proxy
